Rk,School,Conf,ConfStr,AdjEM,AdjO,SDO,AdjD,SDD,AdjT,SDP,Record,Home,Neutral,Away,Q1,Q2,Q3,Q4
1.0,Houston,AAC,5.503526353345421,29.859878549784,115.39142425056976,16.33473251604444,85.53154570078576,32.763028481601786,67.38938369832601,32.763028481601786,[33-4],[16-2],[6-2],[11-0],[8-3],[7-0],[6-0],[12-1]
2.0,Connecticut,Big East,7.535675277249311,23.47894635843437,113.88243794128664,12.024381052261434,90.40349158285227,25.040711294214926,71.01026122475722,25.040711294214926,[30-8],[15-2],[9-1],[6-5],[8-5],[7-2],[5-1],[10-0]
3.0,Saint Mary's (CA),WCC,6.922509813696621,22.452536509590388,109.80017222961945,12.999673501546559,87.34763572002906,22.32383162789462,64.92715984701239,22.32383162789462,[26-8],[15-2],[5-4],[6-2],[6-4],[6-2],[7-0],[7-2]
4.0,UCLA,Pac-12,4.339152644880173,22.29111754553358,109.36685451870268,12.861197950252496,87.0757369731691,25.12657202030453,70.6702440801379,25.12657202030453,[31-6],[17-0],[5-4],[9-2],[3-5],[7-1],[11-0],[10-0]
5.0,Alabama,SEC,6.977958743424949,21.69639761078986,108.7109730967052,17.119318278454834,87.01457548591534,26.37077703418687,78.65556935783077,26.37077703418687,[31-6],[15-0],[7-3],[9-3],[6-5],[11-0],[7-1],[7-0]
6.0,Tennessee,SEC,6.977958743424949,21.328828013159978,106.59512083150956,19.03014151773848,85.26629281834958,28.154158079443384,68.52087862481997,28.154158079443384,[25-11],[14-2],[7-3],[4-6],[5-5],[5-3],[6-3],[9-0]
7.0,Gonzaga,WCC,6.922509813696621,21.096525926126972,118.67014305083447,17.94495708151094,97.5736171247075,24.401349324168393,73.32195949387955,24.401349324168393,[30-6],[14-1],[9-3],[7-2],[7-5],[7-0],[8-1],[8-0]
8.0,Purdue,Big Ten,8.724533341990082,19.491765433891672,113.04931018083698,13.420187884362393,93.55754474694531,22.03556692259423,65.6228705941206,22.03556692259423,[29-6],[14-2],[7-1],[8-3],[6-3],[12-2],[3-0],[8-1]
9.0,Florida Atlantic,CUSA,4.193010157896197,19.43999382971053,112.34731862587039,13.575378581533142,92.90732479615986,22.716543005293126,70.16641032668211,22.716543005293126,[33-4],[15-0],[7-1],[11-3],[6-2],[3-1],[12-1],[12-0]
10.0,Texas,Big 12,10.754673828542224,18.819503970841765,110.14196595055022,12.257742210518977,91.32246197970845,20.214842502896254,73.95455731245184,20.214842502896254,[29-9],[17-1],[8-2],[4-6],[6-7],[10-2],[6-0],[7-0]
11.0,Duke,ACC,6.458574349571919,18.253422625160113,109.40854284982885,16.64393547155903,91.15512022466874,22.036216941591935,66.76715911748471,22.036216941591935,[27-9],[16-0],[7-3],[4-6],[7-8],[6-1],[4-0],[10-0]
12.0,Liberty,A-Sun,-1.4488923654530197,18.13511617622477,110.95834233843986,13.160985837802002,92.8232261622151,22.525465215143896,65.30066437961185,22.525465215143896,[24-9],[16-1],[2-1],[6-7],[1-2],[0-5],[5-2],[18-0]
13.0,Oral Roberts,Summit,-2.7468561844670916,17.861173599450552,114.29785640626099,17.029008780532152,96.43668280681044,24.383400656664197,69.34611370987689,24.383400656664197,[26-5],[12-0],[3-1],[11-4],[1-5],[0-0],[7-0],[18-0]
14.0,College of Charleston,CAA,-3.54890206421814,17.62598010956414,110.67428704522015,9.939841705841646,93.04830693565602,21.199211129307347,71.43695294941146,21.199211129307347,[30-4],[16-1],[3-1],[11-2],[1-2],[3-1],[9-1],[17-0]
15.0,San Diego State,MWC,6.732010734582303,16.92883011228416,105.68120082132975,13.683295991718378,88.75237070904559,18.764255475680717,69.7508010558164,18.764255475680717,[31-6],[14-1],[9-3],[8-2],[10-3],[3-3],[14-0],[4-0]
16.0,Creighton,Big East,7.535675277249311,16.506700341664086,110.61351851533489,16.069134387515412,94.1068181736708,20.902466042630362,71.5794812641213,20.902466042630362,[24-13],[13-2],[6-5],[5-6],[3-9],[7-2],[6-1],[8-1]
17.0,Marquette,Big East,7.535675277249311,16.42991172023372,112.50120813694807,13.421064406132054,96.07129641671435,19.702123198580164,72.44887123433031,19.702123198580164,[29-7],[17-1],[4-2],[8-4],[5-4],[7-2],[8-1],[9-0]
18.0,Iona,MAAC,-0.4593506605747848,16.021026650529024,111.18675421236837,11.295804612862195,95.16572756183935,19.853997387192184,70.31779569884945,19.853997387192184,[27-8],[11-1],[8-3],[8-4],[0-3],[2-2],[10-2],[15-1]
19.0,Virginia,ACC,6.458574349571919,16.016853861951574,107.85800366418209,13.599585930005997,91.84114980223052,19.155503838997827,63.576834015122834,19.155503838997827,[25-8],[15-1],[4-2],[6-5],[6-7],[7-0],[3-1],[9-0]
20.0,Arizona,Pac-12,4.339152644880173,15.804163171117523,111.00403283438142,16.17384584775833,95.1998696632639,23.167895834831057,77.81385243183206,23.167895834831057,[28-7],[15-2],[7-1],[6-4],[7-1],[3-3],[9-3],[9-0]
21.0,North Texas,CUSA,4.193010157896197,15.733523711947143,107.92311968819708,15.528428049868955,92.18959597624993,21.603884258717418,61.67729796285475,21.603884258717418,[29-7],[12-2],[7-2],[10-3],[3-4],[2-1],[13-1],[11-1]
22.0,Kent State,MAC,0.41303669242816454,15.120336508444254,106.13780675015227,15.429922659165927,91.01747024170801,20.532472500097988,68.63158814482223,20.532472500097988,[26-7],[13-0],[4-1],[9-6],[1-5],[6-1],[5-0],[14-1]
23.0,UAB,CUSA,4.193010157896197,15.063557741161958,109.21931942244348,13.037065035600556,94.15576168128152,18.8929012996662,74.89031915768236,18.8929012996662,[28-11],[16-2],[5-4],[7-5],[2-8],[2-1],[10-1],[14-1]
24.0,Drake,MVC,0.7463188532381935,14.896059089223058,108.93054005179341,17.84834447132478,94.03448096257036,23.387277520830924,68.68401295063762,23.387277520830924,[26-8],[13-1],[7-1],[6-6],[1-3],[4-2],[6-3],[15-0]
25.0,Marshall,Sun Belt,1.3382678718964485,14.874678956828888,109.53358159786092,10.933689247119759,94.65890264103203,18.67473397056175,74.2116304019854,18.67473397056175,[23-8],[14-2],[0-1],[9-5],[1-1],[3-2],[7-3],[12-2]
26.0,Miami (FL),ACC,6.458574349571919,14.641987432892776,113.58789619369992,12.580090369375487,98.94590876080714,17.276475270504683,71.19693891726494,17.276475270504683,[29-8],[16-1],[6-3],[7-4],[11-6],[6-0],[4-1],[8-1]
27.0,Utah State,MWC,6.732010734582303,14.131170075705214,111.34297188398595,11.886570164250191,97.21180180828074,16.76022771672619,70.91339966145019,16.76022771672619,[25-9],[13-2],[6-3],[6-4],[3-4],[5-2],[12-1],[5-2]
28.0,Yale,Ivy,2.0873678054697535,14.081900330766345,107.8037870154444,14.707720916181653,93.72188668467805,21.065191800130968,69.04449715486682,21.065191800130968,[19-9],[8-2],[3-0],[8-7],[1-1],[3-4],[8-2],[7-2]
29.0,Boise State,MWC,6.732010734582303,14.014823473419725,106.54372767100534,15.633639594875385,92.52890419758562,19.37881591711046,68.49668299061526,19.37881591711046,[23-10],[14-1],[4-3],[5-6],[2-4],[5-4],[9-1],[7-1]
30.0,NC State,ACC,6.458574349571919,14.012980180618996,110.05372772920724,15.125544145581083,96.04074754858824,18.98959035992574,70.60116888236168,18.98959035992574,[23-11],[15-2],[4-3],[4-6],[4-8],[4-3],[5-0],[10-0]
31.0,Maryland,Big Ten,8.724533341990082,13.887423116359585,107.85151517123751,19.096034702737533,93.96409205487792,22.625399086962116,66.9285320905699,22.625399086962116,[22-13],[16-1],[4-3],[2-9],[2-9],[6-3],[3-1],[11-0]
